Problem type:
least_squares
nparams:
1
function_evaluation,seconds,x(0),objective_function,F(0)
     0,  4.5071e-01,  1.0000000000000000e-02,  2.3327844913939449e-02,  1.5273455703913064e-01
     1,  9.8091e-01,  1.0000014901161194e-02,  2.3327845551203184e-02,  1.5273455912531120e-01
     2,  1.4434e+00,  0.0000000000000000e+00,  2.2908668297666857e-02,  1.5135609765604707e-01
     3,  1.8676e+00,  1.4901161193847656e-08,  2.2908668909766554e-02,  1.5135609967809871e-01
     4,  2.2944e+00, -1.7745242095313231e-02,  2.2205528755900521e-02,  1.4901519639251737e-01
     5,  2.7293e+00, -1.7745256996474425e-02,  2.2205528186766025e-02,  1.4901519448286482e-01
     6,  3.1602e+00, -3.6686348697719452e-02,  2.1510090677279943e-02,  1.4666318787371269e-01
     7,  3.5837e+00, -3.6686363598880646e-02,  2.1510090151852356e-02,  1.4666318608243978e-01
     8,  4.0126e+00, -3.6999919387371842e-02,  2.1499041328012187e-02,  1.4662551390536432e-01
     9,  4.4924e+00, -3.6999934288533036e-02,  2.1499040803291292e-02,  1.4662551211604102e-01
    10,  4.9362e+00, -3.6999999999994676e-02,  2.1499038489362070e-02,  1.4662550422543164e-01
    11,  5.3750e+00, -3.6999985098833482e-02,  2.1499039014083669e-02,  1.4662550601475743e-01
